CUDA is available. Using GPU.

Train inputs: torch.Size([64, 3, 224, 224])
Train outputs: torch.Size([64])

Test inputs: torch.Size([16, 3, 224, 224])
Test outputs: torch.Size([16])

Validation inputs: torch.Size([16, 3, 224, 224])
Validation outputs: torch.Size([16])

Image shape: torch.Size([64, 3, 224, 224])
Output shape: torch.Size([64, 25])
Epoch: 059/100 || Training Loss: 0.623393 || Avg Training Loss: 0.378600 || Training Accuracy: 0.881623 || Runtime: 0.14 mins
Epoch: 060/100 || Training Loss: 0.225930 || Avg Training Loss: 0.390069 || Training Accuracy: 0.877114 || Runtime: 0.14 mins
Epoch: 061/100 || Training Loss: 0.728461 || Avg Training Loss: 0.418790 || Training Accuracy: 0.871928 || Runtime: 0.14 mins
Epoch: 062/100 || Training Loss: 0.479342 || Avg Training Loss: 0.403214 || Training Accuracy: 0.871702 || Runtime: 0.15 mins
Epoch: 063/100 || Training Loss: 0.655794 || Avg Training Loss: 0.373193 || Training Accuracy: 0.887711 || Runtime: 0.14 mins
Epoch: 064/100 || Training Loss: 0.160998 || Avg Training Loss: 0.372600 || Training Accuracy: 0.881849 || Runtime: 0.14 mins
Epoch: 065/100 || Training Loss: 0.237548 || Avg Training Loss: 0.349199 || Training Accuracy: 0.889290 || Runtime: 0.14 mins
Epoch: 066/100 || Training Loss: 0.128418 || Avg Training Loss: 0.325354 || Training Accuracy: 0.893799 || Runtime: 0.14 mins
Epoch: 067/100 || Training Loss: 0.509692 || Avg Training Loss: 0.294993 || Training Accuracy: 0.903495 || Runtime: 0.14 mins
Epoch: 068/100 || Training Loss: 0.260745 || Avg Training Loss: 0.319977 || Training Accuracy: 0.898760 || Runtime: 0.14 mins
Epoch: 069/100 || Training Loss: 0.109882 || Avg Training Loss: 0.316015 || Training Accuracy: 0.899887 || Runtime: 0.15 mins
Epoch: 070/100 || Training Loss: 0.180765 || Avg Training Loss: 0.297362 || Training Accuracy: 0.908906 || Runtime: 0.14 mins
Epoch: 071/100 || Training Loss: 0.436716 || Avg Training Loss: 0.282017 || Training Accuracy: 0.914543 || Runtime: 0.14 mins
Epoch: 072/100 || Training Loss: 0.159196 || Avg Training Loss: 0.292035 || Training Accuracy: 0.906877 || Runtime: 0.14 mins
Epoch: 073/100 || Training Loss: 0.245097 || Avg Training Loss: 0.285327 || Training Accuracy: 0.911838 || Runtime: 0.14 mins
Epoch: 074/100 || Training Loss: 0.400792 || Avg Training Loss: 0.320507 || Training Accuracy: 0.900564 || Runtime: 0.14 mins
Epoch: 075/100 || Training Loss: 0.120714 || Avg Training Loss: 0.301831 || Training Accuracy: 0.905524 || Runtime: 0.14 mins
Epoch: 076/100 || Training Loss: 0.629505 || Avg Training Loss: 0.290414 || Training Accuracy: 0.906426 || Runtime: 0.14 mins
Epoch: 077/100 || Training Loss: 2.186634 || Avg Training Loss: 0.284482 || Training Accuracy: 0.916573 || Runtime: 0.14 mins
Epoch: 078/100 || Training Loss: 1.194410 || Avg Training Loss: 0.342936 || Training Accuracy: 0.899436 || Runtime: 0.14 mins
Epoch: 079/100 || Training Loss: 0.339840 || Avg Training Loss: 0.291866 || Training Accuracy: 0.906426 || Runtime: 0.14 mins
Epoch: 080/100 || Training Loss: 0.136102 || Avg Training Loss: 0.287257 || Training Accuracy: 0.908455 || Runtime: 0.15 mins
Epoch: 081/100 || Training Loss: 0.157328 || Avg Training Loss: 0.261511 || Training Accuracy: 0.914092 || Runtime: 0.14 mins
Epoch: 082/100 || Training Loss: 0.508022 || Avg Training Loss: 0.260166 || Training Accuracy: 0.922435 || Runtime: 0.14 mins
Epoch: 083/100 || Training Loss: 0.652720 || Avg Training Loss: 0.265177 || Training Accuracy: 0.920631 || Runtime: 0.14 mins
Epoch: 084/100 || Training Loss: 0.404058 || Avg Training Loss: 0.283585 || Training Accuracy: 0.913416 || Runtime: 0.14 mins
Epoch: 085/100 || Training Loss: 0.194562 || Avg Training Loss: 0.317201 || Training Accuracy: 0.902593 || Runtime: 0.14 mins
Epoch: 086/100 || Training Loss: 0.391076 || Avg Training Loss: 0.281057 || Training Accuracy: 0.915671 || Runtime: 0.14 mins
Epoch: 087/100 || Training Loss: 0.362689 || Avg Training Loss: 0.271634 || Training Accuracy: 0.914769 || Runtime: 0.14 mins
Epoch: 088/100 || Training Loss: 0.155612 || Avg Training Loss: 0.246389 || Training Accuracy: 0.922210 || Runtime: 0.14 mins
