id,observed_on,url,image_url,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name
336863349,2026-01-20,https://www.inaturalist.org/observations/336863349,https://inaturalist-open-data.s3.amazonaws.com/photos/612242400/medium.jpg,Sequoia sempervirens,coast redwood,Cupressaceae,Sequoia,Sequoia sempervirens
336863358,2026-01-20,https://www.inaturalist.org/observations/336863358,https://inaturalist-open-data.s3.amazonaws.com/photos/612242430/medium.jpg,Polystichum munitum,western sword fern,Dryopteridaceae,Polystichum,Polystichum munitum
336863397,2026-01-25,https://www.inaturalist.org/observations/336863397,https://inaturalist-open-data.s3.amazonaws.com/photos/612242519/medium.jpg,Oxalis pes-caprae,Bermuda buttercup,Oxalidaceae,Oxalis,Oxalis pes-caprae
336863407,2026-01-25,https://www.inaturalist.org/observations/336863407,https://inaturalist-open-data.s3.amazonaws.com/photos/612242549/medium.jpg,Plantago lanceolata,ribwort plantain,Plantaginaceae,Plantago,Plantago lanceolata
336863419,2026-01-25,https://www.inaturalist.org/observations/336863419,https://inaturalist-open-data.s3.amazonaws.com/photos/612242592/medium.jpg,Taraxia ovata,Sun Cup,Onagraceae,Taraxia,Taraxia ovata
336863441,2026-01-24,https://www.inaturalist.org/observations/336863441,https://inaturalist-open-data.s3.amazonaws.com/photos/612242621/medium.jpg,Oxalis smalliana,Redwood Sorrel,Oxalidaceae,Oxalis,Oxalis smalliana
336871048,2026-01-31,https://www.inaturalist.org/observations/336871048,https://inaturalist-open-data.s3.amazonaws.com/photos/612258761/medium.jpg,Viola ocellata,western heart's ease,Violaceae,Viola,Viola ocellata
336871060,2026-01-31,https://www.inaturalist.org/observations/336871060,https://static.inaturalist.org/photos/612258793/medium.jpg,Viola ocellata,western heart's ease,Violaceae,Viola,Viola ocellata
336871475,2026-01-31,https://www.inaturalist.org/observations/336871475,https://static.inaturalist.org/photos/612259434/medium.jpg,Adelinia grandis,Pacific hound's tongue,Boraginaceae,Adelinia,Adelinia grandis
336874972,2026-01-31,https://www.inaturalist.org/observations/336874972,https://inaturalist-open-data.s3.amazonaws.com/photos/612266046/medium.jpg,Oxalis pes-caprae,Bermuda buttercup,Oxalidaceae,Oxalis,Oxalis pes-caprae
336900226,2026-01-25,https://www.inaturalist.org/observations/336900226,https://inaturalist-open-data.s3.amazonaws.com/photos/612318404/medium.jpg,Oxalis pes-caprae,Bermuda buttercup,Oxalidaceae,Oxalis,Oxalis pes-caprae
336900308,2026-01-25,https://www.inaturalist.org/observations/336900308,https://inaturalist-open-data.s3.amazonaws.com/photos/612318455/medium.jpg,Plantago lanceolata,ribwort plantain,Plantaginaceae,Plantago,Plantago lanceolata
336900312,2026-01-25,https://www.inaturalist.org/observations/336900312,https://inaturalist-open-data.s3.amazonaws.com/photos/612322374/medium.jpg,Taraxia ovata,Sun Cup,Onagraceae,Taraxia,Taraxia ovata
