CUDA is available. Using GPU.

Train inputs: torch.Size([64, 3, 224, 224])
Train outputs: torch.Size([64])

Test inputs: torch.Size([16, 3, 224, 224])
Test outputs: torch.Size([16])

Validation inputs: torch.Size([16, 3, 224, 224])
Validation outputs: torch.Size([16])

Image shape: torch.Size([64, 3, 224, 224])
Output shape: torch.Size([64, 25])
Epoch: 071/100 || Training Loss: 0.070022 || Avg Training Loss: 0.097259 || Training Accuracy: 0.967531 || Runtime: 0.13 mins
Epoch: 072/100 || Training Loss: 0.065514 || Avg Training Loss: 0.104490 || Training Accuracy: 0.966404 || Runtime: 0.13 mins
Epoch: 073/100 || Training Loss: 0.014337 || Avg Training Loss: 0.109669 || Training Accuracy: 0.966178 || Runtime: 0.14 mins
Epoch: 074/100 || Training Loss: 0.204496 || Avg Training Loss: 0.095881 || Training Accuracy: 0.968884 || Runtime: 0.14 mins
Epoch: 075/100 || Training Loss: 0.098901 || Avg Training Loss: 0.106459 || Training Accuracy: 0.968207 || Runtime: 0.14 mins
Epoch: 076/100 || Training Loss: 0.193964 || Avg Training Loss: 0.100795 || Training Accuracy: 0.970011 || Runtime: 0.14 mins
Epoch: 077/100 || Training Loss: 0.454099 || Avg Training Loss: 0.118385 || Training Accuracy: 0.963923 || Runtime: 0.13 mins
Epoch: 078/100 || Training Loss: 0.139070 || Avg Training Loss: 0.111428 || Training Accuracy: 0.963472 || Runtime: 0.13 mins
Epoch: 079/100 || Training Loss: 0.026648 || Avg Training Loss: 0.112236 || Training Accuracy: 0.965727 || Runtime: 0.13 mins
Epoch: 080/100 || Training Loss: 0.106052 || Avg Training Loss: 0.105465 || Training Accuracy: 0.967756 || Runtime: 0.13 mins
Epoch: 081/100 || Training Loss: 0.033333 || Avg Training Loss: 0.103982 || Training Accuracy: 0.968207 || Runtime: 0.13 mins
Epoch: 082/100 || Training Loss: 0.184775 || Avg Training Loss: 0.088608 || Training Accuracy: 0.974521 || Runtime: 0.13 mins
Epoch: 083/100 || Training Loss: 0.061412 || Avg Training Loss: 0.099047 || Training Accuracy: 0.968207 || Runtime: 0.13 mins
Epoch: 084/100 || Training Loss: 0.156475 || Avg Training Loss: 0.090861 || Training Accuracy: 0.972717 || Runtime: 0.13 mins
